DateTime;Measurement
04/01/2019 18:30;0
04/01/2019 18:45;0
04/01/2019 19:00;0
04/01/2019 19:15;0
04/01/2019 19:30;0
04/01/2019 19:45;0
04/01/2019 20:00;0
04/01/2019 20:15;0
04/01/2019 20:30;0
04/01/2019 20:45;0
04/01/2019 21:00;0
04/01/2019 21:15;0
04/01/2019 21:30;0
04/01/2019 21:45;0
04/01/2019 22:00;0
04/01/2019 22:15;0
04/01/2019 22:30;0
04/01/2019 22:45;0
04/01/2019 23:00;0
04/01/2019 23:15;0
04/01/2019 23:30;0
04/01/2019 23:45;0
05/01/2019 00:00;0
05/01/2019 00:15;0
05/01/2019 00:30;0
05/01/2019 00:45;0
05/01/2019 01:00;0
05/01/2019 01:15;0
05/01/2019 01:30;0
05/01/2019 01:45;0
05/01/2019 02:00;0
05/01/2019 02:15;0
05/01/2019 02:30;0
05/01/2019 02:45;0
05/01/2019 03:00;0
05/01/2019 03:15;0
05/01/2019 03:30;0
05/01/2019 03:45;0
05/01/2019 04:00;0
05/01/2019 04:15;0
05/01/2019 04:30;0
05/01/2019 04:45;0
05/01/2019 05:00;0
05/01/2019 05:15;0
05/01/2019 05:30;0
05/01/2019 05:45;0
05/01/2019 06:00;0
05/01/2019 06:15;0
05/01/2019 06:30;0
05/01/2019 06:45;0
05/01/2019 07:00;0
05/01/2019 07:15;0
05/01/2019 07:30;0
05/01/2019 07:45;0
05/01/2019 08:00;0
05/01/2019 08:15;0
05/01/2019 08:30;0
05/01/2019 08:45;2.42
05/01/2019 09:00;7.95
05/01/2019 09:15;16.23
05/01/2019 09:30;25.23
05/01/2019 09:45;37.69
05/01/2019 10:00;50.62
05/01/2019 10:15;60.27
05/01/2019 10:30;66.59
05/01/2019 10:45;69.24
05/01/2019 11:00;70.06
05/01/2019 11:15;69.93
05/01/2019 11:30;71.84
05/01/2019 11:45;75.16
05/01/2019 12:00;75.86
05/01/2019 12:15;90.34
05/01/2019 12:30;97.88
05/01/2019 12:45;80.06
05/01/2019 13:00;77.08
05/01/2019 13:15;78.11
05/01/2019 13:30;88.42
05/01/2019 13:45;103.76
05/01/2019 14:00;65.9
05/01/2019 14:15;66.74
05/01/2019 14:30;57.41
05/01/2019 14:45;44.3
05/01/2019 15:00;36.51
05/01/2019 15:15;28.13
05/01/2019 15:30;16.91
05/01/2019 15:45;8.35
05/01/2019 16:00;4.24
05/01/2019 16:15;15.35
05/01/2019 16:30;0.04
05/01/2019 16:45;0
05/01/2019 17:00;0
05/01/2019 17:15;0
05/01/2019 17:30;0
05/01/2019 17:45;0
05/01/2019 18:00;0
05/01/2019 18:15;0
05/01/2019 18:30;0
05/01/2019 18:45;0
05/01/2019 19:00;0
05/01/2019 19:15;0
05/01/2019 19:30;0
05/01/2019 19:45;0
05/01/2019 20:00;0
05/01/2019 20:15;0
05/01/2019 20:30;0
05/01/2019 20:45;0
05/01/2019 21:00;0
05/01/2019 21:15;0
05/01/2019 21:30;0
05/01/2019 21:45;0
05/01/2019 22:00;0
05/01/2019 22:15;0
05/01/2019 22:30;0
05/01/2019 22:45;0
05/01/2019 23:00;0
05/01/2019 23:15;0
05/01/2019 23:30;0
05/01/2019 23:45;0
06/01/2019 00:00;0
06/01/2019 00:15;0
06/01/2019 00:30;0
06/01/2019 00:45;0
06/01/2019 01:00;0
06/01/2019 01:15;0
06/01/2019 01:30;0
06/01/2019 01:45;0
06/01/2019 02:00;0
06/01/2019 02:15;0
06/01/2019 02:30;0
06/01/2019 02:45;0
06/01/2019 03:00;0
06/01/2019 03:15;0
06/01/2019 03:30;0
06/01/2019 03:45;0
06/01/2019 04:00;0
06/01/2019 04:15;0
06/01/2019 04:30;0
06/01/2019 04:45;0
06/01/2019 05:00;0
06/01/2019 05:15;0
06/01/2019 05:30;0
06/01/2019 05:45;0
06/01/2019 06:00;0
06/01/2019 06:15;0
06/01/2019 06:30;0
06/01/2019 06:45;0
06/01/2019 07:00;0
06/01/2019 07:15;0
06/01/2019 07:30;0
06/01/2019 07:45;0
06/01/2019 08:00;0
06/01/2019 08:15;0
06/01/2019 08:30;0
06/01/2019 08:45;0.05
06/01/2019 09:00;3.88
06/01/2019 09:15;16.8
06/01/2019 09:30;24.69
06/01/2019 09:45;48.3
06/01/2019 10:00;57.04
06/01/2019 10:15;63.49
06/01/2019 10:30;75.84
06/01/2019 10:45;92.76
06/01/2019 11:00;119.67
06/01/2019 11:15;118.56
06/01/2019 11:30;122.49
06/01/2019 11:45;137.78
06/01/2019 12:00;146.42
06/01/2019 12:15;86.98
06/01/2019 12:30;116.94
06/01/2019 12:45;130.99
06/01/2019 13:00;134.1
06/01/2019 13:15;127.04
06/01/2019 13:30;124.12
06/01/2019 13:45;116.83
06/01/2019 14:00;102.66
06/01/2019 14:15;101.54
06/01/2019 14:30;88.13
06/01/2019 14:45;75.58
06/01/2019 15:00;64.97
06/01/2019 15:15;48.44
06/01/2019 15:30;43.87
06/01/2019 15:45;29.52
06/01/2019 16:00;18.58
06/01/2019 16:15;9.7
06/01/2019 16:30;2.41
06/01/2019 16:45;3.3
06/01/2019 17:00;0
06/01/2019 17:15;0
06/01/2019 17:30;0
06/01/2019 17:45;0
06/01/2019 18:00;0
06/01/2019 18:15;0
06/01/2019 18:30;0
06/01/2019 18:45;0
06/01/2019 19:00;0
06/01/2019 19:15;0
06/01/2019 19:30;0
06/01/2019 19:45;0
06/01/2019 20:00;0
06/01/2019 20:15;0
06/01/2019 20:30;0
06/01/2019 20:45;0
06/01/2019 21:00;0
06/01/2019 21:15;0
06/01/2019 21:30;0
06/01/2019 21:45;0
06/01/2019 22:00;0
06/01/2019 22:15;0
06/01/2019 22:30;0
06/01/2019 22:45;0
06/01/2019 23:00;0
06/01/2019 23:15;0
06/01/2019 23:30;0
06/01/2019 23:45;0
07/01/2019 00:00;0
07/01/2019 00:15;0
07/01/2019 00:30;0
07/01/2019 00:45;0
07/01/2019 01:00;0
07/01/2019 01:15;0
07/01/2019 01:30;0
07/01/2019 01:45;0
07/01/2019 02:00;0
07/01/2019 02:15;0
07/01/2019 02:30;0
07/01/2019 02:45;0
07/01/2019 03:00;0
07/01/2019 03:15;0
07/01/2019 03:30;0
07/01/2019 03:45;0
07/01/2019 04:00;0
07/01/2019 04:15;0
07/01/2019 04:30;0
07/01/2019 04:45;0
07/01/2019 05:00;0
07/01/2019 05:15;0
07/01/2019 05:30;0
07/01/2019 05:45;0
07/01/2019 06:00;0
07/01/2019 06:15;0
07/01/2019 06:30;0
07/01/2019 06:45;0
07/01/2019 07:00;0
07/01/2019 07:15;0
07/01/2019 07:30;0
07/01/2019 07:45;0
07/01/2019 08:00;0
07/01/2019 08:15;0
07/01/2019 08:30;0.08
07/01/2019 08:45;2.87
07/01/2019 09:00;8.37
07/01/2019 09:15;19.39
07/01/2019 09:30;33.46
07/01/2019 09:45;50.57
07/01/2019 10:00;69.54
07/01/2019 10:15;88.63
07/01/2019 10:30;92.69
07/01/2019 10:45;106.35
07/01/2019 11:00;114.9
07/01/2019 11:15;118.53
07/01/2019 11:30;141.37
07/01/2019 11:45;142.79
07/01/2019 12:00;134.23
07/01/2019 12:15;143.44
07/01/2019 12:30;163.44
07/01/2019 12:45;182.22
07/01/2019 13:00;184.1
07/01/2019 13:15;182.34
07/01/2019 13:30;172.28
07/01/2019 13:45;183.4
07/01/2019 14:00;169.5
07/01/2019 14:15;126.65
07/01/2019 14:30;97.09
07/01/2019 14:45;81.01
07/01/2019 15:00;49.86
07/01/2019 15:15;74.51
07/01/2019 15:30;26.32
07/01/2019 15:45;15.41
07/01/2019 16:00;13.7
07/01/2019 16:15;0.73
07/01/2019 16:30;0
07/01/2019 16:45;0.55
07/01/2019 17:00;0
07/01/2019 17:15;0
07/01/2019 17:30;0
07/01/2019 17:45;0
07/01/2019 18:00;0
07/01/2019 18:15;0
07/01/2019 18:30;0
07/01/2019 18:45;0
07/01/2019 19:00;0
07/01/2019 19:15;0
07/01/2019 19:30;0
07/01/2019 19:45;0
07/01/2019 20:00;0
07/01/2019 20:15;0
07/01/2019 20:30;0
07/01/2019 20:45;0
07/01/2019 21:00;0
07/01/2019 21:15;0
07/01/2019 21:30;0
07/01/2019 21:45;0
07/01/2019 22:00;0
07/01/2019 22:15;0
07/01/2019 22:30;0
07/01/2019 22:45;0
07/01/2019 23:00;0
07/01/2019 23:15;0
07/01/2019 23:30;0
07/01/2019 23:45;0
08/01/2019 00:00;0
08/01/2019 00:15;0
08/01/2019 00:30;0
08/01/2019 00:45;0
08/01/2019 01:00;0
08/01/2019 01:15;0
08/01/2019 01:30;0
08/01/2019 01:45;0
08/01/2019 02:00;0
08/01/2019 02:15;0
08/01/2019 02:30;0
08/01/2019 02:45;0
08/01/2019 03:00;0
08/01/2019 03:15;0
08/01/2019 03:30;0
08/01/2019 03:45;0
08/01/2019 04:00;0
08/01/2019 04:15;0
08/01/2019 04:30;0
08/01/2019 04:45;0
08/01/2019 05:00;0
08/01/2019 05:15;0
08/01/2019 05:30;0
08/01/2019 05:45;0
08/01/2019 06:00;0
08/01/2019 06:15;0
08/01/2019 06:30;0
08/01/2019 06:45;0
08/01/2019 07:00;0
08/01/2019 07:15;0
08/01/2019 07:30;0
08/01/2019 07:45;0
08/01/2019 08:00;0
08/01/2019 08:15;0
08/01/2019 08:30;0
08/01/2019 08:45;0.17
08/01/2019 09:00;14.67
08/01/2019 09:15;39.24
08/01/2019 09:30;86.03
08/01/2019 09:45;123.79
08/01/2019 10:00;164.95
08/01/2019 10:15;374.95
08/01/2019 10:30;162.47
08/01/2019 10:45;184.5
08/01/2019 11:00;271.86
08/01/2019 11:15;341.28
08/01/2019 11:30;388.52
08/01/2019 11:45;399.64
08/01/2019 12:00;466.97
08/01/2019 12:15;413.88
08/01/2019 12:30;384.5
08/01/2019 12:45;398.43
08/01/2019 13:00;421.45
08/01/2019 13:15;423.37
08/01/2019 13:30;339.07
08/01/2019 13:45;286.62
08/01/2019 14:00;301.55
08/01/2019 14:15;319.44
08/01/2019 14:30;294.9
08/01/2019 14:45;222.04
08/01/2019 15:00;185.12
08/01/2019 15:15;166.33
08/01/2019 15:30;141.31
08/01/2019 15:45;87.01
08/01/2019 16:00;65.8
08/01/2019 16:15;39.6
08/01/2019 16:30;16.6
08/01/2019 16:45;1.4
08/01/2019 17:00;0
08/01/2019 17:15;0
08/01/2019 17:30;0
08/01/2019 17:45;0
08/01/2019 18:00;0
08/01/2019 18:15;0
08/01/2019 18:30;0
08/01/2019 18:45;0
08/01/2019 19:00;0
08/01/2019 19:15;0
08/01/2019 19:30;0
08/01/2019 19:45;0
08/01/2019 20:00;0
08/01/2019 20:15;0
08/01/2019 20:30;0
08/01/2019 20:45;0
08/01/2019 21:00;0
08/01/2019 21:15;0
08/01/2019 21:30;0
08/01/2019 21:45;0
08/01/2019 22:00;0
08/01/2019 22:15;0
08/01/2019 22:30;0
08/01/2019 22:45;0
08/01/2019 23:00;0
08/01/2019 23:15;0
08/01/2019 23:30;0
08/01/2019 23:45;0
09/01/2019 00:00;0
09/01/2019 00:15;0
09/01/2019 00:30;0
09/01/2019 00:45;0
09/01/2019 01:00;0
09/01/2019 01:15;0
09/01/2019 01:30;0
09/01/2019 01:45;0
09/01/2019 02:00;0
09/01/2019 02:15;0
09/01/2019 02:30;0
09/01/2019 02:45;0
09/01/2019 03:00;0
09/01/2019 03:15;0
09/01/2019 03:30;0
09/01/2019 03:45;0
09/01/2019 04:00;0
09/01/2019 04:15;0
09/01/2019 04:30;0
09/01/2019 04:45;0
09/01/2019 05:00;0
09/01/2019 05:15;0
09/01/2019 05:30;0
09/01/2019 05:45;0
09/01/2019 06:00;0
09/01/2019 06:15;0
09/01/2019 06:30;0
09/01/2019 06:45;0
09/01/2019 07:00;0
09/01/2019 07:15;0
09/01/2019 07:30;0
09/01/2019 07:45;0
09/01/2019 08:00;0
09/01/2019 08:15;0
09/01/2019 08:30;0.22
09/01/2019 08:45;9.98
09/01/2019 09:00;42.59
09/01/2019 09:15;95.04
09/01/2019 09:30;83.26
09/01/2019 09:45;128.34
09/01/2019 10:00;188.82
09/01/2019 10:15;229.11
09/01/2019 10:30;297.31
09/01/2019 10:45;370.49
09/01/2019 11:00;489.37
09/01/2019 11:15;567.24
09/01/2019 11:30;627.48
09/01/2019 11:45;623.37
09/01/2019 12:00;693.52
09/01/2019 12:15;711.7
09/01/2019 12:30;786.94
09/01/2019 12:45;764.07
09/01/2019 13:00;765.31
09/01/2019 13:15;735.65
09/01/2019 13:30;694.46
09/01/2019 13:45;708.15
09/01/2019 14:00;615.86
09/01/2019 14:15;547.88
09/01/2019 14:30;534.96
09/01/2019 14:45;418.01
09/01/2019 15:00;370.53
09/01/2019 15:15;292.71
09/01/2019 15:30;240.08
09/01/2019 15:45;184.98
09/01/2019 16:00;144.31
09/01/2019 16:15;70.93
09/01/2019 16:30;22.83
09/01/2019 16:45;3.11
09/01/2019 17:00;0
09/01/2019 17:15;0
09/01/2019 17:30;0
09/01/2019 17:45;0
09/01/2019 18:00;0
09/01/2019 18:15;0
09/01/2019 18:30;0
09/01/2019 18:45;0
09/01/2019 19:00;0
09/01/2019 19:15;0
09/01/2019 19:30;0
09/01/2019 19:45;0
09/01/2019 20:00;0
09/01/2019 20:15;0
09/01/2019 20:30;0
09/01/2019 20:45;0
09/01/2019 21:00;0
09/01/2019 21:15;0
09/01/2019 21:30;0
09/01/2019 21:45;0
09/01/2019 22:00;0
09/01/2019 22:15;0
09/01/2019 22:30;0
09/01/2019 22:45;0
09/01/2019 23:00;0
09/01/2019 23:15;0
09/01/2019 23:30;0
09/01/2019 23:45;0
10/01/2019 00:00;0
10/01/2019 00:15;0
10/01/2019 00:30;0
10/01/2019 00:45;0
10/01/2019 01:00;0
10/01/2019 01:15;0
10/01/2019 01:30;0
10/01/2019 01:45;0
10/01/2019 02:00;0
10/01/2019 02:15;0
10/01/2019 02:30;0
10/01/2019 02:45;0
10/01/2019 03:00;0
10/01/2019 03:15;0
10/01/2019 03:30;0
10/01/2019 03:45;0
10/01/2019 04:00;0
10/01/2019 04:15;0
10/01/2019 04:30;0
10/01/2019 04:45;0
10/01/2019 05:00;0
10/01/2019 05:15;0
10/01/2019 05:30;0
10/01/2019 05:45;0
10/01/2019 06:00;0
10/01/2019 06:15;0
10/01/2019 06:30;0
10/01/2019 06:45;0
10/01/2019 07:00;0
10/01/2019 07:15;0
10/01/2019 07:30;0
10/01/2019 07:45;0
10/01/2019 08:00;0
10/01/2019 08:15;0
10/01/2019 08:30;0.24
10/01/2019 08:45;6.22
10/01/2019 09:00;18.08
10/01/2019 09:15;39.91
10/01/2019 09:30;62.32
10/01/2019 09:45;83.43
10/01/2019 10:00;106.78
10/01/2019 10:15;128.52
10/01/2019 10:30;151.72
10/01/2019 10:45;165.89
10/01/2019 11:00;153.99
10/01/2019 11:15;181.25
10/01/2019 11:30;188.3
10/01/2019 11:45;204.12
10/01/2019 12:00;225.68
10/01/2019 12:15;240.48
10/01/2019 12:30;245.71
10/01/2019 12:45;277.19
10/01/2019 13:00;269.72
10/01/2019 13:15;285.49
10/01/2019 13:30;277.3
10/01/2019 13:45;247.76
10/01/2019 14:00;208.79
10/01/2019 14:15;198.24
10/01/2019 14:30;171.7
10/01/2019 14:45;135.49
10/01/2019 15:00;135.1
10/01/2019 15:15;78.27
10/01/2019 15:30;82.65
10/01/2019 15:45;68.13
10/01/2019 16:00;42.24
10/01/2019 16:15;26.2
10/01/2019 16:30;10.02
10/01/2019 16:45;1.37
10/01/2019 17:00;0
10/01/2019 17:15;0
10/01/2019 17:30;0
10/01/2019 17:45;0
10/01/2019 18:00;0
10/01/2019 18:15;0
10/01/2019 18:30;0
10/01/2019 18:45;0
10/01/2019 19:00;0
10/01/2019 19:15;0
10/01/2019 19:30;0
10/01/2019 19:45;0
10/01/2019 20:00;0
10/01/2019 20:15;0
10/01/2019 20:30;0
10/01/2019 20:45;0
10/01/2019 21:00;0
10/01/2019 21:15;0
10/01/2019 21:30;0
10/01/2019 21:45;0
10/01/2019 22:00;0
10/01/2019 22:15;0
10/01/2019 22:30;0
10/01/2019 22:45;0
10/01/2019 23:00;0
10/01/2019 23:15;0
10/01/2019 23:30;0
10/01/2019 23:45;0
11/01/2019 00:00;0
11/01/2019 00:15;0
11/01/2019 00:30;0
11/01/2019 00:45;0
11/01/2019 01:00;0
11/01/2019 01:15;0
11/01/2019 01:30;0
11/01/2019 01:45;0
11/01/2019 02:00;0
11/01/2019 02:15;0
11/01/2019 02:30;0
11/01/2019 02:45;0
11/01/2019 03:00;0
11/01/2019 03:15;0
11/01/2019 03:30;0
11/01/2019 03:45;0
11/01/2019 04:00;0
11/01/2019 04:15;0
11/01/2019 04:30;0
11/01/2019 04:45;0
11/01/2019 05:00;0
11/01/2019 05:15;0
11/01/2019 05:30;0
11/01/2019 05:45;0
11/01/2019 06:00;0
11/01/2019 06:15;0
11/01/2019 06:30;0
11/01/2019 06:45;0
11/01/2019 07:00;0
11/01/2019 07:15;0
11/01/2019 07:30;0
11/01/2019 07:45;0
11/01/2019 08:00;0
11/01/2019 08:15;0
11/01/2019 08:30;0
11/01/2019 08:45;0.05
11/01/2019 09:00;5.51
11/01/2019 09:15;23.97
11/01/2019 09:30;77.05
11/01/2019 09:45;71.36
11/01/2019 10:00;72.41
11/01/2019 10:15;145.29
11/01/2019 10:30;169.51
11/01/2019 10:45;234
11/01/2019 11:00;235.27
11/01/2019 11:15;270.1
11/01/2019 11:30;239.12
11/01/2019 11:45;260.74
11/01/2019 12:00;226.82
11/01/2019 12:15;233.77
11/01/2019 12:30;238.31
11/01/2019 12:45;233.05
11/01/2019 13:00;218.2
11/01/2019 13:15;207.3
11/01/2019 13:30;210.26
11/01/2019 13:45;213.12
